City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng
Tehran,72.13,18.09,43.98,87.62,14.33,54.16,35.6891975,51.3889736
Brussels,84.8,54.41,81.35,6.79,65.42,53.79,50.8503396,4.3517103
Paris,95.92,47.08,83.33,59.18,52.62,53.75,48.856614,2.3522219
Kharkiv,68.99,17.11,35.06,67.05,30.76,53.75,49.9935,36.230383
Moscow,76.35,24.94,42.3,30.03,18.65,53.19,55.755826,37.6172999
Delhi,77.12,34.39,74.99,73.03,42.45,52.56,28.7040592,77.10249019999999
Lahore,67.32,12.45,48.94,30.55,28.52,51.98,31.5203696,74.35874729999999
Hanoi,66.77,12.22,20.83,24.02,5.29,51.81,21.0277644,105.8341598
Cordoba,73.76,27.56,75.24,48.76,47.68,51.56,37.8881751,-4.7793835
Washington,81.74,56.61,64.44,30.55,76.92,51.43,47.7510741,-120.7401385
San Antonio,83.76,74.78,60.97,59.19,84.88,51.41,29.4241219,-98.49362819999999
Christchurch,83.36,47.1,83.86,22.2,76.6,51.3,-43.5319957,172.6396575
Bangalore,77.92,38.67,69.38,80.94,52.11,51.03,12.9715987,77.5945627
Belo Horizonte,71.79,21.77,57.26,59.73,36.26,50.99,-19.9166813,-43.9344931
Auckland,86.43,49.02,71.85,30.03,66.98,50.38,-36.84830480000001,174.7624886
Montevideo,71.69,21.56,59.72,31.72,44.63,50.16,-34.9011127,-56.16453139999999
London,100.0,53.17,69.53,57.95,47.89,50.14,51.5073509,-0.1277583
Perth,95.38,62.11,80.56,23.53,74.62,50.01,-31.9505269,115.8604572
Muscat,86.3,77.16,62.5,64.65,58.99,50.0,23.5880307,58.3828717
Gaborone,75.32,30.98,27.78,30.55,31.77,50.0,-24.6282079,25.9231471
Colombo,72.52,20.18,75.0,33.59,26.68,50.0,6.9270786,79.861243
Cairo,67.93,11.9,56.48,86.16,17.25,48.81,30.0444196,31.2357116
Melbourne,92.58,55.48,76.67,30.28,68.99,48.75,-37.8136276,144.9630576
Quito,67.15,14.24,32.41,14.76,46.43,48.36,-0.1806532,-78.4678382
Dublin,90.45,50.13,41.12,30.54,65.27,48.31,53.3498053,-6.2603097
Jakarta,69.15,17.38,38.33,57.91,15.66,48.27,-6.2087634,106.845599
Sofia,71.97,23.03,51.43,26.63,37.72,48.26,42.6977082,23.3218675
Tirana,69.78,17.8,44.44,80.84,36.81,47.99,41.3275459,19.8186982
Beijing,74.17,22.97,58.9,57.18,25.69,47.61,39.90419989999999,116.4073963
Birmingham,80.85,46.41,75.23,66.53,75.4,47.51,33.5185892,-86.8103567
New York,90.53,55.56,51.39,12.01,61.94,47.33,40.7127753,-74.0059728
Lyon,84.78,56.05,88.65,37.21,71.13,47.27,45.764043,4.835659
Nice,82.55,49.52,87.95,59.19,68.34,47.27,43.7101728,7.261953200000001
Toulouse,82.1,54.47,81.01,36.23,66.66,47.27,43.604652,1.444209
Strasbourg,84.18,72.23,42.81,39.91,66.5,47.27,48.5734053,7.752111299999999
Marseille,81.62,57.05,77.53,25.59,59.87,47.27,43.296482,5.36978
Cebu,66.93,12.9,73.7,35.9,41.21,46.88,10.3156992,123.8854366
Ulaanbaatar,68.29,15.35,43.06,55.87,24.5,46.87,47.88639879999999,106.9057439
Amman,74.4,21.22,75.37,61.63,39.57,46.74,31.9539494,35.910635
Haifa,78.84,44.03,72.69,29.86,52.08,46.59,32.7940463,34.989571
Jerusalem,78.28,37.22,79.4,64.44,50.87,46.59,31.768319,35.21371
Curitiba,76.15,34.97,59.03,33.59,58.67,46.27,-25.4289541,-49.267137
Medellin,70.14,19.2,85.88,37.27,39.7,46.02,6.2476376,-75.56581530000001
Bogota,70.6,14.52,73.89,14.54,29.33,46.02,4.710988599999999,-74.072092
Brisbane,87.63,53.72,88.89,22.19,77.07,45.84,-27.4697707,153.0251235
Pattaya,70.69,19.51,91.46,29.86,46.01,45.52,12.9235557,100.8824551
Antalya,71.91,22.91,59.55,30.55,40.51,44.53,36.8968908,30.7133233
Nottingham,80.42,53.57,79.63,24.54,75.88,44.38,52.95478319999999,-1.1581086
Honolulu,81.31,58.54,57.03,30.28,79.58,44.14,21.3069444,-157.8583333
Alicante,82.83,44.69,75.61,28.19,72.53,44.01,38.3459963,-0.4906855
Kolkata,75.35,28.8,31.29,72.59,25.64,43.33,22.572646,88.36389500000001
Gold Coast,82.03,56.11,82.23,30.55,81.31,43.02,-28.016667,153.4
Bristol,79.66,39.76,88.89,36.22,67.91,42.71,36.5951059,-82.18874439999999
Austin,84.86,69.22,73.61,28.84,86.51,42.5,30.267153,-97.7430608
Victoria,81.44,52.91,79.63,68.93,80.87,42.45,-37.4713077,144.7851531
Istanbul,80.22,34.42,80.38,44.98,45.67,42.36,41.0082376,28.9783589
Santiago,74.6,29.96,66.11,92.42,39.13,42.33,-33.4488897,-70.6692655
New Orleans,82.56,66.32,65.83,14.76,81.2,42.19,29.95106579999999,-90.0715323
Seattle,85.38,78.46,75.46,32.9,84.1,42.03,47.6062095,-122.3320708
Thessaloniki,73.76,24.58,61.94,34.62,43.61,41.64,40.6400629,22.9444191
Regina,82.07,60.8,60.24,84.07,79.98,41.56,50.4452112,-104.6188943
Barcelona,83.37,45.68,58.47,71.75,47.18,41.47,36.0881056,-95.9241306
Phoenix,86.37,80.54,64.9,38.77,82.55,41.41,33.4483771,-112.0740373
Pune,79.2,37.96,66.62,79.24,43.84,41.37,18.5204303,73.8567437
Adelaide,87.29,72.03,56.25,12.01,91.54,41.32,-34.9284989,138.6007456
Helsinki,81.34,54.41,74.35,29.14,75.85,40.96,60.16985569999999,24.9383791
Galway,83.19,58.59,52.97,52.47,77.85,40.78,53.270668,-9.0567905
Boston,82.2,59.28,78.04,61.77,82.81,40.69,42.3600825,-71.0588801
Canberra,83.23,63.26,91.9,11.48,93.05,40.36,-35.2809368,149.1300092
Minneapolis,83.47,69.91,62.35,77.94,83.79,40.36,44.977753,-93.2650108
Lisbon,77.63,32.48,62.38,28.78,56.08,40.08,38.7222524,-9.1393366
Florence,76.63,35.31,67.11,29.44,53.73,39.58,43.7695604,11.2558136
San Diego,83.29,71.37,67.22,32.64,80.18,39.55,32.715738,-117.1610838
Madrid,85.37,54.07,73.51,55.77,59.87,39.34,40.4167754,-3.7037902
Portland,84.23,72.6,72.77,31.98,88.76,39.22,45.5051064,-122.6750261
Casablanca,68.27,13.2,53.7,62.97,48.69,38.28,43.0371779,-88.13519509999999
Nicosia,78.76,39.03,72.04,6.27,57.58,38.22,35.1855659,33.38227639999999
Belgrade,71.65,21.46,52.53,77.08,35.69,37.97,44.786568,20.4489216
Chiang Mai,68.64,15.89,85.91,30.55,37.5,37.78,18.7883439,98.98530079999999
Porto,76.17,31.28,61.51,67.64,58.95,37.51,42.34820999999999,-71.080545
Hyderabad,79.35,39.93,63.89,89.72,54.97,36.9,17.385044,78.486671
Baku,66.42,11.38,28.7,49.47,17.2,36.69,40.40926169999999,49.8670924
Varna,71.11,20.34,50.23,80.84,36.03,36.46,43.2140504,27.9147333
Bangkok,74.21,20.82,95.96,60.39,37.54,36.1,13.7563309,100.5017651
Cork,83.55,47.98,64.32,18.48,76.37,35.83,32.80719,-96.7963929
Hamilton,81.34,56.52,86.67,81.68,84.83,35.68,37.9426096,-96.19513200000002
Lausanne,87.21,90.77,65.85,87.62,73.21,35.55,46.5196535,6.6322734
Oslo,82.09,52.51,88.19,29.39,71.27,35.53,59.9138688,10.7522454
Mumbai,77.13,28.83,58.41,70.49,26.43,34.63,19.0759837,72.8776559
Prague,76.64,35.32,64.15,41.53,58.85,34.54,50.0755381,14.4378005
Bratislava,74.76,29.29,59.72,30.55,56.18,34.38,48.1485965,17.1077478
Budapest,74.13,24.59,60.42,68.38,46.58,34.18,47.497912,19.040235
Belfast,82.15,52.8,33.33,29.24,80.55,34.06,54.59728500000001,-5.93012
Malmo,81.37,52.56,87.96,83.45,60.32,33.97,55.604981,13.003822
Bucharest,72.28,22.85,52.05,74.57,29.45,33.41,44.43044889999999,26.0979342
Chennai,78.12,32.91,67.49,78.07,43.89,33.22,13.0826802,80.2707184
Brighton,80.61,50.56,58.33,50.25,62.62,33.12,36.0637737,-95.8818853
Ljubljana,75.35,32.28,71.76,85.59,61.87,32.94,46.0569465,14.5057515
Darwin,79.63,49.51,75.28,6.78,78.52,32.8,37.0929586,-95.5828336
Sydney,94.53,54.82,71.27,18.48,74.32,32.8,-33.8688197,151.2092955
Copenhagen,82.85,49.33,85.14,30.54,75.23,32.39,55.6760968,12.5683372
Riyadh,83.22,63.22,54.59,11.48,67.72,32.39,24.7135517,46.6752957
Zagreb,73.84,26.71,52.78,83.45,47.59,32.29,45.8150108,15.9819189
San Francisco,85.38,63.54,75.46,17.06,79.08,32.25,37.7749295,-122.4194155
Vadodara,76.54,36.37,77.87,92.42,54.98,32.03,22.3071588,73.1812187
Warsaw,76.76,35.77,63.33,86.16,51.82,32.03,52.2296756,21.0122287
Montreal,89.28,66.99,66.77,6.27,78.55,31.63,45.5016889,-73.567256
Edmonton,85.94,67.19,78.83,22.79,89.58,31.14,53.5461245,-113.4938229
Edinburgh,83.92,58.77,60.64,13.94,75.03,30.51,55.953252,-3.188267
Charlotte,84.46,77.18,72.08,67.05,84.39,30.21,35.2270869,-80.8431267
Asheville,83.17,70.51,79.02,30.55,81.34,30.21,35.5950581,-82.5514869
Rochester,82.07,60.78,68.6,31.6,78.05,30.21,43.15657789999999,-77.6088465
Indianapolis,84.52,80.72,36.66,82.08,77.13,30.21,39.768403,-86.158068
Newark,84.97,84.39,79.72,62.14,73.21,30.21,40.735657,-74.1723667
Vancouver,82.59,48.06,83.73,18.48,71.89,30.03,49.2827291,-123.1207375
The Hague,83.23,68.28,66.74,37.21,79.99,29.76,52.0704978,4.3006999
Amsterdam,84.0,47.18,68.06,53.42,72.85,29.76,52.3675734,4.9041389
Utrecht,79.7,49.87,70.9,18.27,72.61,29.76,52.09073739999999,5.1214201
Calgary,85.77,63.9,75.33,23.53,87.57,29.53,51.04473309999999,-114.0718831
Leeds,82.57,63.88,81.48,18.48,78.06,28.91,53.8007554,-1.5490774
Liverpool,81.23,53.78,82.86,55.35,83.14,28.7,32.6564981,-115.4763241
Basel,84.2,78.17,79.74,59.18,88.27,28.12,47.5595986,7.5885761
Vilnius,72.45,24.17,77.31,82.08,64.19,27.93,54.6871555,25.2796514
Frankfurt,82.75,62.6,65.33,14.54,88.04,27.55,50.1109221,8.6821267
Vienna,81.84,51.21,79.86,22.39,77.21,27.45,48.2081743,16.3738189
Toronto,88.42,61.44,66.11,8.95,77.02,27.4,43.653226,-79.3831843
Wellington,81.06,49.11,73.72,30.55,79.83,27.38,-41.2768778,174.7731458
Doha,90.73,81.96,68.06,83.45,80.28,27.17,25.2854473,51.53103979999999
Cologne,82.18,59.18,67.88,68.41,82.82,27.08,50.937531,6.9602786
Minsk,68.41,16.14,50.0,66.89,51.66,26.82,53.9006011,27.558972
Valencia,81.06,49.11,72.07,35.24,64.89,26.04,28.5217922,-81.46357669999999
Addis Ababa,59.88,6.38,63.89,85.59,28.41,26.04,8.9806034,38.7577605
Izmir,76.07,32.12,57.33,30.55,42.9,25.91,38.423734,27.142826
Stockholm,82.85,51.03,82.5,13.93,78.58,25.62,59.32932349999999,18.0685808
Gothenburg,74.63,26.95,68.24,92.42,71.51,25.62,57.70887,11.97456
Hamburg,84.66,61.13,82.41,67.78,87.18,25.52,53.5510846,9.9936819
Nashville,80.61,80.3,60.3,0.0,80.5,25.5,36.1626638,-86.7816016
Aberdeen,81.89,49.7,82.86,34.31,76.77,24.22,57.149717,-2.094278
Leicester,83.36,71.88,60.64,18.04,76.19,24.22,52.6368778,-1.1397592
Oxford,80.94,50.33,66.2,11.48,72.09,24.22,51.7520209,-1.2577263
Cambridge,82.15,54.76,81.48,57.18,70.61,24.22,42.3736158,-71.10973349999999
Manchester,81.89,62.31,61.42,0.0,73.0,24.2,53.4807593,-2.2426305
Berlin,89.54,68.72,65.48,16.05,91.17,24.18,52.52000659999999,13.404954
Stuttgart,82.48,65.82,80.38,16.89,90.4,23.96,48.7758459,9.1829321
Limassol,78.3,40.13,77.6,26.74,74.83,23.75,34.7071301,33.0226174
Ottawa,87.69,91.85,66.02,33.55,86.11,22.25,45.4215296,-75.69719309999999
Sliema,81.05,52.84,72.22,67.78,65.03,22.19,35.9110081,14.502904
Venice,78.82,45.69,72.67,11.48,70.34,21.48,45.4408474,12.3155151
Seoul,82.43,54.3,75.0,85.59,60.28,21.35,37.566535,126.9779692
Stavanger,79.41,46.59,62.48,29.13,76.5,20.83,58.9699756,5.7331074
Singapore,81.07,33.14,58.82,18.48,42.65,19.96,1.352083,103.819836
Trondheim,80.36,51.22,81.67,14.53,82.67,19.8,63.4305149,10.3950528
Manama,77.56,40.26,72.22,17.06,63.85,19.79,26.2235305,50.5875935
Dubai,98.44,69.64,67.78,30.81,85.16,19.36,25.2048493,55.2707828
Luxembourg,85.85,76.44,59.72,57.17,81.41,18.75,49.815273,6.129582999999999
Ahmedabad,76.16,33.69,61.67,68.21,57.01,18.18,23.022505,72.5713621
Braga,75.07,30.21,69.71,14.54,69.91,18.12,41.5454486,-8.426506999999999
Davao,69.29,17.63,69.0,77.98,30.66,17.71,7.190708,125.455341
Indore,76.38,35.79,31.34,59.42,48.53,16.93,22.7195687,75.8577258
Kochi,74.27,28.98,70.23,71.78,45.13,16.93,9.9312328,76.26730409999999
Bergen,80.74,51.24,84.95,18.4,83.76,16.67,40.9262762,-74.07701
Shanghai,75.69,26.74,78.7,61.74,31.66,16.51,31.230416,121.473701
Hong Kong,86.37,50.07,67.59,14.88,59.5,16.31,22.3193039,114.1693611
Taipei,77.42,38.19,88.89,87.62,52.35,15.71,25.0329694,121.5654177
Zurich,85.89,79.58,78.33,18.04,97.91,15.35,47.3768866,8.541694
Aachen,81.64,60.55,73.25,11.69,90.52,15.34,50.7753455,6.083886800000001
Dresden,84.75,82.6,78.29,16.89,90.21,15.34,51.0504088,13.7372621
Munich,86.0,63.28,88.43,43.08,90.08,15.34,48.1351253,11.5819805
Dusseldorf,83.45,72.52,75.98,8.61,88.02,15.34,51.2277411,6.7734556
Tokyo,80.0,47.57,71.53,30.54,69.29,13.91,35.6761919,139.6503106
Abu Dhabi,86.4,68.03,48.02,53.42,80.8,10.86,24.453884,54.3773438
Marbella,81.96,60.14,83.64,32.27,75.24,9.11,36.510071,-4.8824474
Malaga,84.3,45.77,69.17,30.55,67.9,9.11,36.7211784,-4.421719899999999
