,Weights,City
79,"(0, 0, 1, 0, 3, 3)",Venice
80,"(0, 0, 1, 1, 0, 0)",Glasgow
81,"(0, 0, 1, 1, 0, 1)",Brussels
82,"(0, 0, 1, 1, 0, 2)",Brussels
83,"(0, 0, 1, 1, 0, 3)",Manchester
84,"(0, 0, 1, 1, 1, 0)",Bergen
85,"(0, 0, 1, 1, 1, 1)",Manchester
86,"(0, 0, 1, 1, 1, 2)",Manchester
87,"(0, 0, 1, 1, 1, 3)",Manchester
88,"(0, 0, 1, 1, 2, 0)",Dresden
89,"(0, 0, 1, 1, 2, 1)",Aachen
90,"(0, 0, 1, 1, 2, 2)",Manchester
91,"(0, 0, 1, 1, 2, 3)",Manchester
92,"(0, 0, 1, 1, 3, 0)",Bergen
93,"(0, 0, 1, 1, 3, 1)",Manchester
94,"(0, 0, 1, 1, 3, 2)",Dresden
95,"(0, 0, 1, 1, 3, 3)",Oxford
96,"(0, 0, 1, 2, 0, 0)",Glasgow
97,"(0, 0, 1, 2, 0, 1)",Manchester
98,"(0, 0, 1, 2, 0, 2)",Manchester
99,"(0, 0, 1, 2, 0, 3)",Brussels
100,"(0, 0, 1, 2, 1, 0)",Trondheim
101,"(0, 0, 1, 2, 1, 1)",Aachen
102,"(0, 0, 1, 2, 1, 2)",Manchester
103,"(0, 0, 1, 2, 1, 3)",The Hague
104,"(0, 0, 1, 2, 2, 0)",Aachen
105,"(0, 0, 1, 2, 2, 1)",Aachen
106,"(0, 0, 1, 2, 2, 2)",Dresden
107,"(0, 0, 1, 2, 2, 3)",Oxford
108,"(0, 0, 1, 2, 3, 0)",Dresden
109,"(0, 0, 1, 2, 3, 1)",Aachen
110,"(0, 0, 1, 2, 3, 2)",Aachen
111,"(0, 0, 1, 2, 3, 3)",Aachen
112,"(0, 0, 1, 3, 0, 0)",Canberra
113,"(0, 0, 1, 3, 0, 1)",Manchester
114,"(0, 0, 1, 3, 0, 2)",Manchester
115,"(0, 0, 1, 3, 0, 3)",Manchester
116,"(0, 0, 1, 3, 1, 0)",Aachen
117,"(0, 0, 1, 3, 1, 1)",Bergen
118,"(0, 0, 1, 3, 1, 2)",Oxford
119,"(0, 0, 1, 3, 1, 3)",Vienna
120,"(0, 0, 1, 3, 2, 0)",Aachen
121,"(0, 0, 1, 3, 2, 1)",Aachen
122,"(0, 0, 1, 3, 2, 2)",Aachen
123,"(0, 0, 1, 3, 2, 3)",Manchester
124,"(0, 0, 1, 3, 3, 0)",Aachen
125,"(0, 0, 1, 3, 3, 1)",Aachen
126,"(0, 0, 1, 3, 3, 2)",Manchester
127,"(0, 0, 1, 3, 3, 3)",Manchester
128,"(0, 0, 2, 0, 0, 0)",Manchester
129,"(0, 0, 2, 0, 0, 1)",Manchester
130,"(0, 0, 2, 0, 0, 2)",Brussels
131,"(0, 0, 2, 0, 0, 3)",Manchester
132,"(0, 0, 2, 0, 1, 0)",Aachen
133,"(0, 0, 2, 0, 1, 1)",Manchester
134,"(0, 0, 2, 0, 1, 2)",Manchester
135,"(0, 0, 2, 0, 1, 3)",Oxford
136,"(0, 0, 2, 0, 2, 0)",Hong Kong
137,"(0, 0, 2, 0, 2, 1)",Manchester
138,"(0, 0, 2, 0, 2, 2)",Venice
139,"(0, 0, 2, 0, 2, 3)",Manchester
140,"(0, 0, 2, 0, 3, 0)",Aachen
141,"(0, 0, 2, 0, 3, 1)",Manchester
142,"(0, 0, 2, 0, 3, 2)",Manchester
143,"(0, 0, 2, 0, 3, 3)",Manchester
144,"(0, 0, 2, 1, 0, 0)",Nashville
145,"(0, 0, 2, 1, 0, 1)",Glasgow
146,"(0, 0, 2, 1, 0, 2)",Oxford
147,"(0, 0, 2, 1, 0, 3)",Brussels
148,"(0, 0, 2, 1, 1, 0)",Manchester
149,"(0, 0, 2, 1, 1, 1)",Manchester
150,"(0, 0, 2, 1, 1, 2)",Manchester
151,"(0, 0, 2, 1, 1, 3)",Utrecht
152,"(0, 0, 2, 1, 2, 0)",Aachen
153,"(0, 0, 2, 1, 2, 1)",Manchester
154,"(0, 0, 2, 1, 2, 2)",Oxford
155,"(0, 0, 2, 1, 2, 3)",Manchester
156,"(0, 0, 2, 1, 3, 0)",Aachen
157,"(0, 0, 2, 1, 3, 1)",Dresden
158,"(0, 0, 2, 1, 3, 2)",Aachen
159,"(0, 0, 2, 1, 3, 3)",Manchester
160,"(0, 0, 2, 2, 0, 0)",Montreal
161,"(0, 0, 2, 2, 0, 1)",Manchester
162,"(0, 0, 2, 2, 0, 2)",Brussels
163,"(0, 0, 2, 2, 0, 3)",Manchester
164,"(0, 0, 2, 2, 1, 0)",Berlin
165,"(0, 0, 2, 2, 1, 1)",Aachen
166,"(0, 0, 2, 2, 1, 2)",Berlin
167,"(0, 0, 2, 2, 1, 3)",Manchester
168,"(0, 0, 2, 2, 2, 0)",Trondheim
169,"(0, 0, 2, 2, 2, 1)",Aachen
170,"(0, 0, 2, 2, 2, 2)",Manchester
171,"(0, 0, 2, 2, 2, 3)",Oxford
172,"(0, 0, 2, 2, 3, 0)",Trondheim
173,"(0, 0, 2, 2, 3, 1)",Aachen
174,"(0, 0, 2, 2, 3, 2)",Aachen
175,"(0, 0, 2, 2, 3, 3)",Manchester
176,"(0, 0, 2, 3, 0, 0)",Nashville
177,"(0, 0, 2, 3, 0, 1)",Glasgow
178,"(0, 0, 2, 3, 0, 2)",Utrecht
179,"(0, 0, 2, 3, 0, 3)",Manchester
180,"(0, 0, 2, 3, 1, 0)",Aachen
181,"(0, 0, 2, 3, 1, 1)",Dresden
182,"(0, 0, 2, 3, 1, 2)",Utrecht
183,"(0, 0, 2, 3, 1, 3)",Manchester
184,"(0, 0, 2, 3, 2, 0)",Nashville
185,"(0, 0, 2, 3, 2, 1)",Dresden
186,"(0, 0, 2, 3, 2, 2)",Manchester
187,"(0, 0, 2, 3, 2, 3)",Manchester
188,"(0, 0, 2, 3, 3, 0)",Aachen
189,"(0, 0, 2, 3, 3, 1)",Dresden
190,"(0, 0, 2, 3, 3, 2)",Aachen
191,"(0, 0, 2, 3, 3, 3)",Manchester
192,"(0, 0, 3, 0, 0, 0)",Nashville
193,"(0, 0, 3, 0, 0, 1)",Glasgow
194,"(0, 0, 3, 0, 0, 2)",Brussels
195,"(0, 0, 3, 0, 0, 3)",Manchester
196,"(0, 0, 3, 0, 1, 0)",Manchester
197,"(0, 0, 3, 0, 1, 1)",Manchester
198,"(0, 0, 3, 0, 1, 2)",Brussels
199,"(0, 0, 3, 0, 1, 3)",Oxford
200,"(0, 0, 3, 0, 2, 0)",Nashville
201,"(0, 0, 3, 0, 2, 1)",Manchester
202,"(0, 0, 3, 0, 2, 2)",Manchester
203,"(0, 0, 3, 0, 2, 3)",Manchester
204,"(0, 0, 3, 0, 3, 0)",Manchester
205,"(0, 0, 3, 0, 3, 1)",Aachen
206,"(0, 0, 3, 0, 3, 2)",Manchester
207,"(0, 0, 3, 0, 3, 3)",Manchester
208,"(0, 0, 3, 1, 0, 0)",Glasgow
209,"(0, 0, 3, 1, 0, 1)",Manchester
210,"(0, 0, 3, 1, 0, 2)",Brussels
211,"(0, 0, 3, 1, 0, 3)",Manchester
212,"(0, 0, 3, 1, 1, 0)",Manchester
213,"(0, 0, 3, 1, 1, 1)",Manchester
214,"(0, 0, 3, 1, 1, 2)",Oxford
215,"(0, 0, 3, 1, 1, 3)",Manchester
216,"(0, 0, 3, 1, 2, 0)",Aachen
217,"(0, 0, 3, 1, 2, 1)",Manchester
218,"(0, 0, 3, 1, 2, 2)",Manchester
219,"(0, 0, 3, 1, 2, 3)",Oxford
220,"(0, 0, 3, 1, 3, 0)",Nashville
221,"(0, 0, 3, 1, 3, 1)",Manchester
222,"(0, 0, 3, 1, 3, 2)",Manchester
223,"(0, 0, 3, 1, 3, 3)",Manchester
224,"(0, 0, 3, 2, 0, 0)",Manchester
225,"(0, 0, 3, 2, 0, 1)",Nashville
226,"(0, 0, 3, 2, 0, 2)",Brussels
227,"(0, 0, 3, 2, 0, 3)",Manchester
228,"(0, 0, 3, 2, 1, 0)",Darwin
229,"(0, 0, 3, 2, 1, 1)",Manchester
230,"(0, 0, 3, 2, 1, 2)",Manchester
231,"(0, 0, 3, 2, 1, 3)",Brussels
232,"(0, 0, 3, 2, 2, 0)",Aachen
233,"(0, 0, 3, 2, 2, 1)",Manchester
234,"(0, 0, 3, 2, 2, 2)",Aachen
235,"(0, 0, 3, 2, 2, 3)",Oxford
236,"(0, 0, 3, 2, 3, 0)",Manchester
237,"(0, 0, 3, 2, 3, 1)",Manchester
238,"(0, 0, 3, 2, 3, 2)",Dresden
239,"(0, 0, 3, 2, 3, 3)",Manchester
240,"(0, 0, 3, 3, 0, 0)",Nashville
241,"(0, 0, 3, 3, 0, 1)",Glasgow
242,"(0, 0, 3, 3, 0, 2)",Manchester
243,"(0, 0, 3, 3, 0, 3)",Manchester
244,"(0, 0, 3, 3, 1, 0)",Aachen
245,"(0, 0, 3, 3, 1, 1)",Manchester
246,"(0, 0, 3, 3, 1, 2)",Manchester
247,"(0, 0, 3, 3, 1, 3)",Brussels
248,"(0, 0, 3, 3, 2, 0)",Nashville
249,"(0, 0, 3, 3, 2, 1)",Manchester
250,"(0, 0, 3, 3, 2, 2)",Manchester
251,"(0, 0, 3, 3, 2, 3)",Manchester
252,"(0, 0, 3, 3, 3, 0)",Aachen
253,"(0, 0, 3, 3, 3, 1)",Aachen
254,"(0, 0, 3, 3, 3, 2)",Manchester
255,"(0, 0, 3, 3, 3, 3)",Manchester
256,"(0, 1, 0, 0, 0, 0)",Bangkok
257,"(0, 1, 0, 0, 0, 1)",Jerusalem
258,"(0, 1, 0, 0, 0, 2)",Brussels
259,"(0, 1, 0, 0, 0, 3)",Brussels
260,"(0, 1, 0, 0, 1, 0)",Munich
261,"(0, 1, 0, 0, 1, 1)",Bergen
262,"(0, 1, 0, 0, 1, 2)",Amman
263,"(0, 1, 0, 0, 1, 3)",Brussels
264,"(0, 1, 0, 0, 2, 0)",Bergen
265,"(0, 1, 0, 0, 2, 1)",Taipei
266,"(0, 1, 0, 0, 2, 2)",Venice
267,"(0, 1, 0, 0, 2, 3)",Utrecht
268,"(0, 1, 0, 0, 3, 0)",Munich
269,"(0, 1, 0, 0, 3, 1)",Munich
270,"(0, 1, 0, 0, 3, 2)",Munich
271,"(0, 1, 0, 0, 3, 3)",Venice
272,"(0, 1, 0, 1, 0, 0)",Canberra
273,"(0, 1, 0, 1, 0, 1)",Brussels
274,"(0, 1, 0, 1, 0, 2)",Jerusalem
275,"(0, 1, 0, 1, 0, 3)",Brussels
276,"(0, 1, 0, 1, 1, 0)",Bergen
277,"(0, 1, 0, 1, 1, 1)",Munich
278,"(0, 1, 0, 1, 1, 2)",Brussels
279,"(0, 1, 0, 1, 1, 3)",Jerusalem
280,"(0, 1, 0, 1, 2, 0)",Trondheim
281,"(0, 1, 0, 1, 2, 1)",Munich
282,"(0, 1, 0, 1, 2, 2)",Amsterdam
283,"(0, 1, 0, 1, 2, 3)",Amsterdam
284,"(0, 1, 0, 1, 3, 0)",Dresden
285,"(0, 1, 0, 1, 3, 1)",Munich
286,"(0, 1, 0, 1, 3, 2)",Aachen
287,"(0, 1, 0, 1, 3, 3)",Munich
288,"(0, 1, 0, 2, 0, 0)",Munich
289,"(0, 1, 0, 2, 0, 1)",Hamilton
290,"(0, 1, 0, 2, 0, 2)",Utrecht
291,"(0, 1, 0, 2, 0, 3)",Jerusalem
292,"(0, 1, 0, 2, 1, 0)",Munich
293,"(0, 1, 0, 2, 1, 1)",Bergen
294,"(0, 1, 0, 2, 1, 2)",Amsterdam
295,"(0, 1, 0, 2, 1, 3)",Vienna
296,"(0, 1, 0, 2, 2, 0)",Munich
297,"(0, 1, 0, 2, 2, 1)",Aachen
298,"(0, 1, 0, 2, 2, 2)",The Hague
299,"(0, 1, 0, 2, 2, 3)",Manchester
300,"(0, 1, 0, 2, 3, 0)",Munich
301,"(0, 1, 0, 2, 3, 1)",Munich
302,"(0, 1, 0, 2, 3, 2)",Utrecht
303,"(0, 1, 0, 2, 3, 3)",Utrecht
304,"(0, 1, 0, 3, 0, 0)",Bergen
305,"(0, 1, 0, 3, 0, 1)",Canberra
306,"(0, 1, 0, 3, 0, 2)",The Hague
307,"(0, 1, 0, 3, 0, 3)",Brussels
308,"(0, 1, 0, 3, 1, 0)",Munich
309,"(0, 1, 0, 3, 1, 1)",Dresden
310,"(0, 1, 0, 3, 1, 2)",Utrecht
311,"(0, 1, 0, 3, 1, 3)",Oxford
312,"(0, 1, 0, 3, 2, 0)",Trondheim
313,"(0, 1, 0, 3, 2, 1)",Stuttgart
314,"(0, 1, 0, 3, 2, 2)",Munich
315,"(0, 1, 0, 3, 2, 3)",Utrecht
316,"(0, 1, 0, 3, 3, 0)",Trondheim
317,"(0, 1, 0, 3, 3, 1)",Aachen
318,"(0, 1, 0, 3, 3, 2)",Bergen
319,"(0, 1, 0, 3, 3, 3)",Vienna
320,"(0, 1, 1, 0, 0, 0)",Brussels
321,"(0, 1, 1, 0, 0, 1)",Brussels
322,"(0, 1, 1, 0, 0, 2)",Brussels
323,"(0, 1, 1, 0, 0, 3)",Brussels
324,"(0, 1, 1, 0, 1, 0)",Aachen
325,"(0, 1, 1, 0, 1, 1)",Aachen
326,"(0, 1, 1, 0, 1, 2)",Manchester
327,"(0, 1, 1, 0, 1, 3)",Brussels
328,"(0, 1, 1, 0, 2, 0)",Bergen
329,"(0, 1, 1, 0, 2, 1)",Aachen
330,"(0, 1, 1, 0, 2, 2)",Manchester
331,"(0, 1, 1, 0, 2, 3)",Brussels
332,"(0, 1, 1, 0, 3, 0)",Dresden
333,"(0, 1, 1, 0, 3, 1)",Aachen
334,"(0, 1, 1, 0, 3, 2)",Venice
335,"(0, 1, 1, 0, 3, 3)",Oxford
336,"(0, 1, 1, 1, 0, 0)",Glasgow
337,"(0, 1, 1, 1, 0, 1)",Glasgow
338,"(0, 1, 1, 1, 0, 2)",Brussels
339,"(0, 1, 1, 1, 0, 3)",Utrecht
340,"(0, 1, 1, 1, 1, 0)",Trondheim
341,"(0, 1, 1, 1, 1, 1)",Aachen
342,"(0, 1, 1, 1, 1, 2)",Manchester
343,"(0, 1, 1, 1, 1, 3)",Utrecht
344,"(0, 1, 1, 1, 2, 0)",Bergen
345,"(0, 1, 1, 1, 2, 1)",Aachen
346,"(0, 1, 1, 1, 2, 2)",Utrecht
347,"(0, 1, 1, 1, 2, 3)",Utrecht
348,"(0, 1, 1, 1, 3, 0)",Aachen
349,"(0, 1, 1, 1, 3, 1)",Dresden
350,"(0, 1, 1, 1, 3, 2)",Dresden
351,"(0, 1, 1, 1, 3, 3)",Aachen
352,"(0, 1, 1, 2, 0, 0)",Glasgow
353,"(0, 1, 1, 2, 0, 1)",Canberra
354,"(0, 1, 1, 2, 0, 2)",Utrecht
355,"(0, 1, 1, 2, 0, 3)",Brussels
356,"(0, 1, 1, 2, 1, 0)",Dresden
357,"(0, 1, 1, 2, 1, 1)",Trondheim
358,"(0, 1, 1, 2, 1, 2)",Utrecht
359,"(0, 1, 1, 2, 1, 3)",Vienna
360,"(0, 1, 1, 2, 2, 0)",Aachen
361,"(0, 1, 1, 2, 2, 1)",Aachen
362,"(0, 1, 1, 2, 2, 2)",Oxford
363,"(0, 1, 1, 2, 2, 3)",Oxford
364,"(0, 1, 1, 2, 3, 0)",Aachen
365,"(0, 1, 1, 2, 3, 1)",Aachen
366,"(0, 1, 1, 2, 3, 2)",Utrecht
367,"(0, 1, 1, 2, 3, 3)",Oxford
368,"(0, 1, 1, 3, 0, 0)",Canberra
369,"(0, 1, 1, 3, 0, 1)",Glasgow
370,"(0, 1, 1, 3, 0, 2)",Brussels
371,"(0, 1, 1, 3, 0, 3)",Brussels
372,"(0, 1, 1, 3, 1, 0)",Aachen
373,"(0, 1, 1, 3, 1, 1)",Dresden
374,"(0, 1, 1, 3, 1, 2)",Utrecht
375,"(0, 1, 1, 3, 1, 3)",Utrecht
376,"(0, 1, 1, 3, 2, 0)",Trondheim
377,"(0, 1, 1, 3, 2, 1)",Aachen
378,"(0, 1, 1, 3, 2, 2)",Dresden
379,"(0, 1, 1, 3, 2, 3)",Aachen
380,"(0, 1, 1, 3, 3, 0)",Bergen
381,"(0, 1, 1, 3, 3, 1)",Aachen
382,"(0, 1, 1, 3, 3, 2)",Munich
383,"(0, 1, 1, 3, 3, 3)",Dresden
384,"(0, 1, 2, 0, 0, 0)",Glasgow
385,"(0, 1, 2, 0, 0, 1)",Brussels
386,"(0, 1, 2, 0, 0, 2)",Brussels
387,"(0, 1, 2, 0, 0, 3)",Brussels
388,"(0, 1, 2, 0, 1, 0)",Dresden
389,"(0, 1, 2, 0, 1, 1)",Manchester
390,"(0, 1, 2, 0, 1, 2)",Brussels
391,"(0, 1, 2, 0, 1, 3)",Brussels
392,"(0, 1, 2, 0, 2, 0)",Aachen
393,"(0, 1, 2, 0, 2, 1)",Manchester
394,"(0, 1, 2, 0, 2, 2)",Manchester
395,"(0, 1, 2, 0, 2, 3)",Manchester
396,"(0, 1, 2, 0, 3, 0)",Dresden
397,"(0, 1, 2, 0, 3, 1)",Dresden
398,"(0, 1, 2, 0, 3, 2)",Aachen
399,"(0, 1, 2, 0, 3, 3)",Venice
400,"(0, 1, 2, 1, 0, 0)",Glasgow
401,"(0, 1, 2, 1, 0, 1)",Brussels
402,"(0, 1, 2, 1, 0, 2)",Glasgow
403,"(0, 1, 2, 1, 0, 3)",Oxford
404,"(0, 1, 2, 1, 1, 0)",Dresden
405,"(0, 1, 2, 1, 1, 1)",Manchester
406,"(0, 1, 2, 1, 1, 2)",Brussels
407,"(0, 1, 2, 1, 1, 3)",Brussels
408,"(0, 1, 2, 1, 2, 0)",Bergen
409,"(0, 1, 2, 1, 2, 1)",Aachen
410,"(0, 1, 2, 1, 2, 2)",Aachen
411,"(0, 1, 2, 1, 2, 3)",Brussels
412,"(0, 1, 2, 1, 3, 0)",Trondheim
413,"(0, 1, 2, 1, 3, 1)",Aachen
414,"(0, 1, 2, 1, 3, 2)",Aachen
415,"(0, 1, 2, 1, 3, 3)",Manchester
416,"(0, 1, 2, 2, 0, 0)",Glasgow
417,"(0, 1, 2, 2, 0, 1)",Glasgow
418,"(0, 1, 2, 2, 0, 2)",Brussels
419,"(0, 1, 2, 2, 0, 3)",Brussels
420,"(0, 1, 2, 2, 1, 0)",Bergen
421,"(0, 1, 2, 2, 1, 1)",Aachen
422,"(0, 1, 2, 2, 1, 2)",Brussels
423,"(0, 1, 2, 2, 1, 3)",Manchester
424,"(0, 1, 2, 2, 2, 0)",Dresden
425,"(0, 1, 2, 2, 2, 1)",Trondheim
426,"(0, 1, 2, 2, 2, 2)",Aachen
427,"(0, 1, 2, 2, 2, 3)",Manchester
428,"(0, 1, 2, 2, 3, 0)",Dresden
429,"(0, 1, 2, 2, 3, 1)",Bergen
430,"(0, 1, 2, 2, 3, 2)",Aachen
431,"(0, 1, 2, 2, 3, 3)",Manchester
432,"(0, 1, 2, 3, 0, 0)",Aachen
433,"(0, 1, 2, 3, 0, 1)",Canberra
434,"(0, 1, 2, 3, 0, 2)",Stuttgart
435,"(0, 1, 2, 3, 0, 3)",Brussels
436,"(0, 1, 2, 3, 1, 0)",Canberra
437,"(0, 1, 2, 3, 1, 1)",Aachen
438,"(0, 1, 2, 3, 1, 2)",Utrecht
439,"(0, 1, 2, 3, 1, 3)",Brussels
440,"(0, 1, 2, 3, 2, 0)",Aachen
441,"(0, 1, 2, 3, 2, 1)",Trondheim
442,"(0, 1, 2, 3, 2, 2)",Bergen
443,"(0, 1, 2, 3, 2, 3)",Aachen
444,"(0, 1, 2, 3, 3, 0)",Stuttgart
445,"(0, 1, 2, 3, 3, 1)",Dresden
446,"(0, 1, 2, 3, 3, 2)",Berlin
447,"(0, 1, 2, 3, 3, 3)",Oxford
448,"(0, 1, 3, 0, 0, 0)",Glasgow
449,"(0, 1, 3, 0, 0, 1)",Brussels
450,"(0, 1, 3, 0, 0, 2)",Brussels
451,"(0, 1, 3, 0, 0, 3)",Manchester
452,"(0, 1, 3, 0, 1, 0)",Toronto
453,"(0, 1, 3, 0, 1, 1)",Venice
454,"(0, 1, 3, 0, 1, 2)",Oxford
455,"(0, 1, 3, 0, 1, 3)",Venice
456,"(0, 1, 3, 0, 2, 0)",Bergen
457,"(0, 1, 3, 0, 2, 1)",Aachen
458,"(0, 1, 3, 0, 2, 2)",Venice
459,"(0, 1, 3, 0, 2, 3)",Venice
460,"(0, 1, 3, 0, 3, 0)",Trondheim
461,"(0, 1, 3, 0, 3, 1)",Manchester
462,"(0, 1, 3, 0, 3, 2)",Oxford
463,"(0, 1, 3, 0, 3, 3)",Manchester
464,"(0, 1, 3, 1, 0, 0)",Glasgow
465,"(0, 1, 3, 1, 0, 1)",Glasgow
466,"(0, 1, 3, 1, 0, 2)",Glasgow
467,"(0, 1, 3, 1, 0, 3)",Brussels
468,"(0, 1, 3, 1, 1, 0)",Dresden
469,"(0, 1, 3, 1, 1, 1)",Nashville
470,"(0, 1, 3, 1, 1, 2)",Manchester
471,"(0, 1, 3, 1, 1, 3)",Brussels
472,"(0, 1, 3, 1, 2, 0)",Bergen
473,"(0, 1, 3, 1, 2, 1)",Manchester
474,"(0, 1, 3, 1, 2, 2)",Manchester
475,"(0, 1, 3, 1, 2, 3)",Utrecht
476,"(0, 1, 3, 1, 3, 0)",Aachen
477,"(0, 1, 3, 1, 3, 1)",Dresden
478,"(0, 1, 3, 1, 3, 2)",Aachen
479,"(0, 1, 3, 1, 3, 3)",Utrecht
480,"(0, 1, 3, 2, 0, 0)",Glasgow
481,"(0, 1, 3, 2, 0, 1)",Glasgow
482,"(0, 1, 3, 2, 0, 2)",Manchester
483,"(0, 1, 3, 2, 0, 3)",Brussels
484,"(0, 1, 3, 2, 1, 0)",Stuttgart
485,"(0, 1, 3, 2, 1, 1)",Glasgow
486,"(0, 1, 3, 2, 1, 2)",Manchester
487,"(0, 1, 3, 2, 1, 3)",Brussels
488,"(0, 1, 3, 2, 2, 0)",Dresden
489,"(0, 1, 3, 2, 2, 1)",Bergen
490,"(0, 1, 3, 2, 2, 2)",Oxford
491,"(0, 1, 3, 2, 2, 3)",Manchester
492,"(0, 1, 3, 2, 3, 0)",Bergen
493,"(0, 1, 3, 2, 3, 1)",Aachen
494,"(0, 1, 3, 2, 3, 2)",Aachen
495,"(0, 1, 3, 2, 3, 3)",Aachen
496,"(0, 1, 3, 3, 0, 0)",Canberra
497,"(0, 1, 3, 3, 0, 1)",Glasgow
498,"(0, 1, 3, 3, 0, 2)",Brussels
499,"(0, 1, 3, 3, 0, 3)",Brussels
500,"(0, 1, 3, 3, 1, 0)",Nashville
501,"(0, 1, 3, 3, 1, 1)",Manchester
502,"(0, 1, 3, 3, 1, 2)",Brussels
503,"(0, 1, 3, 3, 1, 3)",Manchester
504,"(0, 1, 3, 3, 2, 0)",Bergen
505,"(0, 1, 3, 3, 2, 1)",Manchester
506,"(0, 1, 3, 3, 2, 2)",Aachen
507,"(0, 1, 3, 3, 2, 3)",Manchester
508,"(0, 1, 3, 3, 3, 0)",Aachen
509,"(0, 1, 3, 3, 3, 1)",Aachen
510,"(0, 1, 3, 3, 3, 2)",Bergen
511,"(0, 1, 3, 3, 3, 3)",Manchester
512,"(0, 2, 0, 0, 0, 0)",Glasgow
513,"(0, 2, 0, 0, 0, 1)",Jerusalem
